,店舗名,店舗名カナ,郵便番号,住所,電話番号,FAX番号,e-mailアドレス,ホームページアドレス,最寄りの交通機関,営業時間,定休日,業種,店舗緯度,店舗経度,おむつ替え設備,授乳の場,子供用補助便座,妊婦用駐車場,障害者用駐車場,ミルクのお湯を提供,こどもと遊べる場,ベビーカー,利用可能時間
352,ファミリーマート　坂出林田町店,ふぁみりーまーと　さかいではやしだちょうてん,762-0012,香川県坂出市林田町3093-2,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.332571,133.891829,　,　,○,○,　,　,　,　,24時間営業
353,ファミリーマート　坂出番の州公園店,ふぁみりーまーと　さかいでばんのすこうえんてん,762-0051,香川県坂出市御供所町3-413-4,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.323924,133.835446,　,　,○,○,　,　,　,　,24時間営業
354,ファミリーマート　坂出府中店,ふぁみりーまーと　さかいでふちゅうてん,762-0024,香川県坂出市府中町字前谷上所245-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.295642,133.935035,　,　,○,○,　,　,　,　,24時間営業
355,ファミリーマート　坂出文京町店,ふぁみりーまーと　さかいでぶんきょうちょうてん,762-0031,香川県坂出市文京町1丁目3580-25,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.311933,133.851024,　,　,○,○,　,　,　,　,24時間営業
356,ファミリーマート　さぬき寒川町店,ふぁみりーまーと　さぬきさんがわちょうてん,769-2322,香川県さぬき市寒川町石田西1991-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.260554,134.197501,　,　,○,○,　,　,　,　,24時間営業
357,ファミリーマート　さぬき津田店,ふぁみりーまーと　さぬきつだてん,769-2401,香川県さぬき市津田町津田2885-4,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.303627,134.243005,　,　,○,○,　,　,　,　,24時間営業
358,ファミリーマート　さぬき長尾店,ふぁみりーまーと　さぬきながおてん,769-2302,香川県さぬき市長尾西1404-3,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.261867,134.175361,　,　,○,○,　,　,　,　,24時間営業
359,ファミリーマート　サンフラワー通り店,ふぁみりーまーと　さんふらわーどおりてん,761-8071,香川県高松市伏石町2174-20,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.307247,134.053098,　,　,○,○,　,　,　,　,24時間営業
360,ファミリーマート　善通寺稲木店,ふぁみりーまーと　ぜんつうじいなぎてん,765-0022,香川県善通寺市稲木町101-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.239873,133.785327,　,　,○,○,　,　,　,　,24時間営業
361,ファミリーマート　善通寺吉原店,ふぁみりーまーと　ぜんつうじよしわらちょう,765-0061,香川県善通寺市吉原町2433-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.226468,133.744109,　,　,○,○,　,　,　,　,24時間営業
362,ファミリーマート　高松茜町店,ふぁみりーまーと　たかまつあかねちょうてん,760-0002,香川県高松市茜町21-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.348179,134.023708,　,　,○,○,　,　,　,　,24時間営業
363,ファミリーマート　高松円座町店,ふぁみりーまーと　たかまつえんざてん,761-8044,香川県高松市円座町1258-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.286868,134.011265,　,　,○,○,　,　,　,　,24時間営業
364,ファミリーマート　高松太田上町店,ふぁみりーまーと　たかまつおおたかみまちてん,761-8074,香川県高松市太田上町983-4,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.300323,134.041135,　,　,○,○,　,○,　,　,24時間営業
365,ファミリーマート　高松川部町店,ふぁみりーまーと　たかまつかわなべてん,761-8046,香川県高松市川部町505-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.26857,134.009849,　,　,○,○,　,　,　,　,24時間営業
366,ファミリーマート　高松北バイパス店,ふぁみりーまーと　たかまつきたばいぱすてん,761-0104,香川県高松市高松町3006-15,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.340088,134.110543,　,　,○,○,　,　,　,　,24時間営業
367,ファミリーマート　高松鬼無町店,ふぁみりーまーと　たかまつきなしてん,761-8023,香川県高松市鬼無町佐藤54-8,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.328447,133.994481,　,　,○,○,　,　,　,　,24時間営業
368,ファミリーマート　高松香西北店,ふぁみりーまーと　たかまつこうざいきたてん,761-8011,香川県高松市香西北町534-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.354416,133.988401,　,　,○,○,　,　,　,　,24時間営業
369,ファミリーマート　高松香西東店,ふぁみりーまーと　たかまつこうざいひがしてん,761-8013,香川県高松市香西東町331-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.342757,134.00634,　,　,○,○,　,　,　,　,24時間営業
370,ファミリーマート　高松国際ホテル前店,ふぁみりーまーと　たかまつこくさいほてるまえてん,760-0080,香川県高松市木太町2193-6,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.334508,134.070859,　,　,○,○,　,　,　,　,24時間営業
371,ファミリーマート　高松高田店,ふぁみりーまーと　たかまつたかだてん,761-0323,香川県高松市亀田町202-4,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.285467,134.113946,　,　,○,○,　,　,　,　,24時間営業
372,ファミリーマート　高松中央通り店,ふぁみりーまーと　たかまつちゅうおうどおりてん,761-8055,香川県高松市紙町81-4,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.316118,134.039114,　,　,○,○,　,　,　,　,24時間営業
373,ファミリーマート　高松町店,ふぁみりーまーと　たかまつちょうてん,761-0104,香川県高松市高松町44-3,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.334164,134.106419,　,　,○,○,　,　,　,　,24時間営業
374,ファミリーマート　高松鶴市町店,ふぁみりーまーと　たかまつつるいちてん,761-8032,香川県高松市鶴市町519-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.329313,134.008052,　,　,○,○,　,　,　,　,24時間営業
375,ファミリーマート　高松磨屋町店,ふぁみりーまーと　たかまつとぎやまちてん,760-0026,香川県高松市磨屋町9-2,-,,,http://www.family.co.jp/index.html,,24時間営業,なし,,34.344927,134.048641,　,　,○,○,　,　,　,　,24時間営業
376,ファミリーマート　高松西ハゼ町店,ふぁみりーまーと　たかまつにしはぜてん,761-8053,香川県高松市西ハゼ町262,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.318029,134.030798,　,　,○,○,　,　,　,　,24時間営業
377,ファミリーマート　高松西町店,ふぁみりーまーと　たかまつにしまちてん,760-0003,香川県高松市西町840-201,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.347388,134.027268,　,　,○,○,　,　,　,　,24時間営業
378,ファミリーマート　高松林町店,ふぁみりーまーと　たかまつはやしちょうてん,761-0301,香川県高松市林町467,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.293549,134.074613,　,　,○,○,　,　,　,　,24時間営業
379,ファミリーマート　高松東バイパス店,ふぁみりーまーと　たかまつひがしばいぱすてん,761-0301,香川県高松市林町2539-6,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.304942,134.070402,　,　,○,○,　,　,　,　,24時間営業
380,ファミリーマート　高松福岡町店,ふぁみりーまーと　たかまつふくおかちょうてん,760-0066,香川県高松市福岡町2-5-14,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.346735,134.068461,　,　,○,○,　,　,　,　,24時間営業
381,ファミリーマート　高松仏生山北店,ふぁみりーまーと　たかまつぶっしょうざんきたてん,761-8078,香川県高松市仏生山町甲59-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.286437,134.039994,　,　,○,○,　,　,　,　,24時間営業
382,ファミリーマート　高松仏生山南店,ふぁみりーまーと　たかまつぶっしょうざんみなみてん,761-8078,香川県高松市仏生山町甲新開下所1477-2,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.27388,134.035545,　,　,○,○,　,　,　,　,24時間営業
383,ファミリーマート　高松前田東町店,ふぁみりーまーと　たかまつまえだひがしまちてん,761-0322,香川県高松市前田東町732-6,-,,,http://www.family.co.jp/index.html,,24時間営業,なし,,34.293897,134.112977,　,　,○,○,　,　,　,　,24時間営業
384,ファミリーマート　高松御厩町店,ふぁみりーまーと　たかまつみまやちょうてん,761-8042,香川県高松市御厩町1467-2,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.306349,133.984383,　,　,○,○,　,　,　,　,24時間営業
385,ファミリーマート　多度津南鴨店,ふぁみりーまーと　たどつみなみがもてん,764-0026,香川県仲多度郡多度津町南鴨199-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.271844,133.770962,　,　,○,○,　,　,　,　,24時間営業
386,ファミリーマート　中央インター南店,ふぁみりーまーと　ちゅうおういんたーみなみてん,761-0301,香川県高松市林町2029-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.306286,134.073001,　,　,○,○,　,　,　,　,24時間営業
387,ファミリーマート　仲南町佐文店,ふぁみりーまーと　ちゅうなんちょうさぶみてん,769-0301,香川県仲多度郡まんのう町佐文802-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.172247,133.81236,　,　,○,○,　,　,　,　,24時間営業
388,ファミリーマート　豊浜町姫浜店,ふぁみりーまーと　とよはまちょうひめはまてん,769-1601,香川県観音寺市豊浜町姫浜1517-3,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.063666,133.634321,　,　,○,○,　,　,　,　,24時間営業
389,ファミリーマート　東かがわ中筋店,ふぁみりーまーと　ひがしかがわなかすじてん,769-2605,香川県東かがわ市中筋20-2,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.249554,134.324512,　,　,○,○,　,　,　,　,24時間営業
390,ファミリーマート　福岡町南店,ふぁみりーまーと　ふくおかちょうみなみてん,760-0066,香川県高松市福岡町4-14-13,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.341771,134.067799,　,　,○,○,　,　,　,　,24時間営業
391,ファミリーマート　古高松店,ふぁみりーまーと　ふるたかまつてん,761-0104,香川県高松市高松町2148番1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.342705,134.119578,　,　,○,○,　,　,　,　,24時間営業
392,ファミリーマート　丸亀今津店,ふぁみりーまーと　まるがめいまづてん,763-0051,香川県丸亀市今津町270,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.276833,133.782197,　,　,○,○,　,　,　,　,24時間営業
393,ファミリーマート　丸亀金倉町店,ふぁみりーまーと　まるがめかなくらちょうてん,763-0053,香川県丸亀市金倉町1435-5,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.273533,133.783224,　,　,○,○,　,　,　,　,24時間営業
394,ファミリーマート　丸亀川西北店,ふぁみりーまーと　まるがめかわにしきたてん,763-0091,香川県丸亀市川西町北1370-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.268173,133.821778,　,　,○,○,　,　,　,　,24時間営業
395,ファミリーマート　丸亀郡家店,ふぁみりーまーと　まるがめぐんけてん,763-0093,香川県丸亀市郡家町593-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.245786,133.812702,　,　,○,○,　,　,　,　,24時間営業
396,ファミリーマート　丸亀三条町店,ふぁみりーまーと　まるがめさんじょうちょうてん,763-0094,香川県丸亀市三条町969-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.253249,133.8033,　,　,○,○,　,　,　,　,24時間営業
397,ファミリーマート　丸亀垂水町店,ふぁみりーまーと　まるがめたるみちょうてん,763-0095,香川県丸亀市垂水町979,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.231644,133.833606,　,　,○,○,　,　,　,　,24時間営業
398,ファミリーマート　丸亀土居町店,ふぁみりーまーと　まるがめどいちょうてん,763-0012,香川県丸亀市土居町2丁目2-16,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.290109,133.805891,　,　,○,○,　,　,　,　,24時間営業
399,ファミリーマート　丸亀港町店,ふぁみりーまーと　まるがめみなとまちてん,763-0042,香川県丸亀市港町307-75,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.296816,133.794342,　,　,○,○,　,　,　,　,24時間営業
400,ファミリーマート　丸亀山北町店,ふぁみりーまーと　まるがめやまのきたちょうてん,763-0072,香川県丸亀市山北町480-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.276191,133.800417,　,　,○,○,　,　,　,　,24時間営業
401,ファミリーマート　満濃町公文店,ふぁみりーまーと　まんのうちょうくもんてん,766-0011,香川県仲多度郡まんのう町公文411-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.217631,133.822908,　,　,○,○,　,　,　,　,24時間営業
402,ファミリーマート　三木町氷上店,ふぁみりーまーと　みきちょうひかみてん,761-0612,香川県木田郡三木町氷上2564,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.254355,134.128397,　,　,○,○,　,　,　,　,24時間営業
403,ファミリーマート　三野町店,ふぁみりーまーと　みのちょうてん,767-0033,香川県三豊市三野町吉津甲607-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.200326,133.698182,　,　,○,○,　,　,　,　,24時間営業
404,ファミリーマート　屋島西町店,ふぁみりーまーと　やしまにしまちてん,761-0113,香川県高松市屋島西町2492-24,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.347436,134.089129,　,　,○,○,　,　,　,　,24時間営業
405,ファミリーマート　丸亀綾歌町店,ふぁみりーまーとまるがめあやうたちょうてん,761-2406,香川県丸亀市綾歌町栗熊東1150-1,0877-57-1043,,,,,時 ～ 時、時 ～ 時、時 ～ 時,無し,,34.240076,133.897935,○,　,○,○,　,　,　,　,0時～24時
406,福田公民館,ふくだこうみんかん,761-4402,香川県小豆郡小豆島町福田甲546-1,0879-84-2812,,,,,8時30分～22時,日曜日・祝日・年末年始,,34.543761,134.341666,○,　,○,　,　,　,　,　,8時30分～22時
407,双葉写真館　一宮店,ふたばしゃしんかん　いちのみやてん,761-8084,香川県高松市一宮町181-4,087-885-3725,087-885-4176,studio-futaba@e-mail.jp,http://www.studio-futaba.com/,田村神社東入口前,9時 30分～18時,木曜日,写真,34.285191,134.028705,○,○,○,　,　,○,　,　,9時30分～18時
408,府中湖パーキングエリア　下り線,ふちゅうこぱーきんぐえりあくだりせん,762-0024,香川県坂出市府中町字川西3785-19,-,,,http://www.w-nexco.co.jp/,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.273171,133.922302,○,　,○,○,　,　,　,　,24時間（清掃時除く）
409,府中湖パーキングエリア　上り線,ふちゅうこぱーきんぐえりあのぼりせん,762-0024,香川県坂出市府中町字川西7064,-,,,http://www.w-nexco.co.jp/,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.274523,133.922272,○,　,○,○,　,　,　,　,24時間（清掃時除く）
410,フレンズ・ラボ,ふれんず・らぼ,768-0060,香川県観音寺市観音寺町甲1183,0875-24-8338,0875-24-8691,npo_friends@yahoo.co.jp,http://friends-sunnyhouse.wixsite.com/npo-friends/blank-7,観音寺駅から徒歩6分,9時30分 ～ 17時,土日祝,教育,34.127166,133.652723,○,　,○,○,○,○,○,○,9時30分 ～ 17時
411,プレイパークゴールドタワー,ぷれいぱーくごーるどたわー,769-0201,香川県綾歌郡宇多津町浜一番丁8-1,0877-49-7070,,,http://www.goldtower.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,無し,,34.31169,133.80847,○,○,○,　,　,　,　,　,10時 ～ 27時
412,hair & make LUCET,へあーあんどめいく　るーけと,760-0062,香川県高松市塩上町3-4-2,087-887-8010,,lucet.omni.S@gmail.com,http://lucet201356.blog.fc2.com/,ことでん今橋駅,9時30分 ～ 18時、土日祝 9時 ～ 17時,毎週月曜日、第1・3日曜日,理美容・整体,34.340161,134.058385,○,○,　,　,　,○,○,○,9時30分 ～ 18時、土日祝 9時 ～ 17時
413,HAIR PORT　Tegetege,へあーぽーとてげてげ,760-0066,香川県高松市福岡町4丁目14-1,087-811-5337,,,,,時 ～ 時、時 ～ 時、時 ～ 時,不定休（時間外も応相談）,,34.342119,134.067687,○,○,○,　,　,　,　,　,10時～18時　※時間外応相談
414,ヘアールームＲ,へあーるーむあーる,769-2303,香川県さぬき市長尾名3-1,0879-52-5200,0879-52-5200,hairroom-r@s.vodafone.ne.jp,http://hairroom-r.s1.bindsite.jp/,コトデン長尾駅,9時 ～ 19時,毎月曜、第3日曜日,理美容・整体,34.261264,134.176003,○,○,　,　,　,○,○,　,9時 ～ 19時
415,ベッセルおおち,べっせるおおち,769-2520,香川県東かがわ市馬篠1200番地,0879-26-1126,,,http://www.shikoku.ne.jp/vessel/,,10時～22時,年中無休　※施設点検の為休館する場合があります,,34.274898,134.29772,○,　,○,○,　,　,　,　,10時～22時
416,ベビールーム　ぴょんぴょん,べびーるーむ　ぴょんぴょん,761-8073,香川県高松市太田下町3025-12,087-867-7746,087-867-7746,info@pyon-pyon.jp,http://www.pyon-pyon.jp/,ことでんバスレインボー循環東回り、サンフラワー東バス停から6分,9時 ～17 時,土曜日・日曜日・祝日・盆・年末年始,"教育, その他",34.305465,134.054388,○,○,○,○,　,○,○,　,9時～17時
417,ショッピングセンター・ベルシティ,べるしてぃ,761-0703,香川県木田郡三木町大字鹿伏310,087-898-7000,,,http://www.chuokai-kagawa.or.jp/bellcity/,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.271194,134.135907,○,○,○,○,　,　,　,　,9時30分～20時
418,保健センター,ほけんせんたー,769-0210,香川県綾歌郡宇多津町1881番地,0877-49-8008,,,,,時 ～ 時、時 ～ 時、時 ～ 時,土曜日・日曜日・祝日・12月29日～翌1月3日,,34.310683,133.825776,○,○,○,○,　,　,　,　,8時30分～17時
419,ほけんの窓口　高松中央通り店,ほけんのまどぐち　たかまつちゅうおうどおりてん,761-8056,香川県高松市上天神町214-1,087-864-3390,087-864-3395,,,ゆめタウン高松前,10時 ～ 19時,年中無休,"金融, その他",34.314302,134.037701,○,○,○,　,　,　,　,　,10時 ～ 19時
420,Honda　Cars香川　高松中央インタ―店,ほんだかーずかがわたかまつちゅうおういんたーてん,760-0080,香川県高松市木太町548-1,087-864-5500,,,http://www.hondacars-kagawa.com/,,9時30分～18時,火曜日,,34.312599,134.07389,○,　,○,○,　,　,　,　,9時30分～18時
421,本屋Lunuganga,ほんや　るぬがんが,760-0050,香川県高松市亀井町11-13　中村第二ビル1F,087-837-4646,087-837-4646,lunugangabooks@gmail.com,https://www.lunuganga-books.com,瓦町駅,10時 ～ 19時,毎週火曜日,"買う, 食べる",34.338731,134.048417,○,　,○,　,　,　,　,　,10時 ～ 19時
422,うどん雅や,まさや,760-0071,香川県高松市藤塚町3丁目19-41,087-835-3303,087-835-3303,,,JR栗林駅,平日10時30分～14時、土・日・祝日6時30分～14時（玉切れ次第終了）,不定休、1月1日,食べる,34.332218,134.053191,○,○,　,　,　,○,　,　,6時30分～16時
423,マツノイパレス,まつのいぱれす,761-1705,香川県高松市香川町川東下1878,087-879-3411,,,http://www.the-chelsea.jp,,時 ～ 時、時 ～ 時、時 ～ 時,,,34.253641,134.027985,○,　,○,○,　,　,　,　,-
424,有限会社真鍋モータース,まなべもーたーす,769-1101,香川県三豊市詫間町詫間614-8,0875-83-2477,,,http://www.lotas37.com/manabe,,8時～18時,祝祭日・日曜日・第2土曜日,,34.220677,133.682243,○,　,○,○,　,　,　,　,8時～18時
425,丸い亀さん。,まるいかめさん,760-0050,香川県高松市亀井町1-2,087-812-2620,,,,,時 ～ 時、時 ～ 時、時 ～ 時,,,34.34168,134.048968,○,　,○,○,　,　,　,　,-
426,丸亀市綾歌保健福祉センター,まるがめしあやうたうけんふくしせんたー,761-2405,香川県丸亀市綾歌町栗熊西782番地,0877-86-2881,,,http://www.marugame-shakyo.or.jp/,,8時30分～21時 ※月曜日～金曜日、夜間部屋の使用がない場合は17時まで,土曜日・日曜日・祝日・年末年始（12月29日～1月3日）,,34.226214,133.882325,○,○,○,○,　,　,　,　,8時30分～21時 ※月曜日～金曜日、夜間部屋の使用がない場合は17時まで
427,丸亀市岡田コミュニティセンター,まるがめしおかだこみゅにてぃせんたー,761-2402,香川県丸亀市綾歌町岡田下516-1,0877-86-3001,,,,,9時～21時30分、夜間行事ない日は17時30分閉館,毎週月曜日・祝日、ただし月曜日が祝日にあたるときは、その翌日,,34.224611,133.859463,○,　,○,○,　,　,　,　,9時～21時30分、夜間行事ない日は17時30分閉館
428,丸亀市生涯学習センター,まるがめししょうがいがくしゅうせんたー,763-0034,香川県丸亀市大手町二丁目1番20号,0877-23-1091,0877-23-1094,,http://www.mcf1976.org/,JR丸亀駅,9時 ～ 21時30分,12月29日から翌年1月3日まで,複合施設,34.28869,133.799189,○,○,　,○,○,　,○,　,9時 ～ 21時30分
429,丸亀市城北コミュニティ,まるがめしじょうほくこみゅにてぃ,763-0014,香川県丸亀市御供所町1-5-20,0877-25-2141,,,http://johoku-c.her.jp,,9時～21時（夜間行事ない日は17時閉館）,毎週月曜日・祝日、ただし月曜日が祝日にあたるときは、その翌日,,34.29625,133.800316,○,○,○,○,　,　,　,　,9時～21時（夜間行事ない日は17時閉館）
430,丸亀市飯山北コミュニティセンター,まるがめしはんざんきたこみゅにてぃせんたー,762-0082,香川県丸亀市飯山町川原1112-5,0877-98-6595,,,,,9時～17時30分,毎週月曜日・但し月曜日が祝日に当たる時は、その翌日,,34.264154,133.861057,○,　,○,　,　,　,　,　,9時～17時30分
431,丸亀市飯山総合学習センター,まるがめしはんざんそうごうがくしゅうせんたー,762-0087,香川県丸亀市飯山町西坂元547-1,0877-98-3319,0877-98-3845,,http://hanzan.ashita-sanuki.jp/,,9時 ～16 時30分,月曜・祝日・年末年始（第2・第4月曜は図書館が開くため利用できます。）,"教育, 複合施設",34.262571,133.840727,○,○,○,○,○,○,○,○,9時 ～ 16時30分
432,丸亀市飯山総合保健福祉センター,まるがめしはんざんそうごうふくしせんたー,762-0083,香川県丸亀市飯山町下法軍寺581番地1,0877-98-4141,,,http://www.marugame-shakyo.or.jp/,,月曜日～土曜日　8時30分～21時 日曜日　8時30分～17時30分 ※土曜日、夜間　部屋の使用がない場合は17時30分まで ※日曜日　部屋の使用がない場合は閉館します。,年末年始（12月29日～1月3日）,,34.258913,133.858479,○,○,○,○,　,　,　,　,月曜日～土曜日　8時30分～21時 日曜日　8時30分～17時30分 ※土曜日、夜間　部屋の使用がない場合は17時30分まで ※日曜日　部屋の使用がない場合は閉館します。
433,丸亀市飯山南コミュニティセンター,まるがめしはんざんみなみこみゅにてぃせんたー,762-0084,香川県丸亀市飯山町上法軍寺1167-5,0877-98-2200,,,,,9時～21時、土曜日・日曜日は17時まで,毎週月曜日・祝日,,34.24797,133.856099,○,○,○,○,　,　,　,　,9時～21時、土曜日・日曜日は17時まで
434,丸亀市保健福祉センター（ひまわりセンター）,まるがめしほけんふくしせんたー　ひまわりせんたー,763-0034,香川県丸亀市大手町二丁目1番7号,0877-22-5700,,,http://www.marugame-shakyo.or.jp/,,月曜日～土曜日　8時30分～21時日曜日　8時30分～17時30分※月曜日、火曜日、木曜日、金曜日、夜間部屋の使用がない場合は19時まで※水曜日、土曜日、夜間部屋の使用がない場合は17時30分まで,祝日、年末年始（12月29日～1月3日）,,34.288701,133.799689,○,○,○,○,　,　,　,　,月曜日～土曜日　8時30分～21時日曜日　8時30分～17時30分※月曜日、火曜日、木曜日、金曜日、夜間部屋の使用がない場合は19時まで※水曜日、土曜日、夜間部屋の使用がない場合は17時30分まで
435,丸亀市民球場,まるがめしみんきゅうじょう,763-0053,香川県丸亀市金倉町975,0877-35-8200,0877-21-4356,hometown@city.marugame.lg.jp,,JR丸亀駅,9時 ～ 21時,年末年始（12月29日～1月3日）,"見る・遊ぶ, スポーツ",34.266817,133.785091,○,○,○,○,○,○,　,　,9時 ～ 21時
436,丸亀自動車学校,まるがめじどうしゃがっこう,762-0087,香川県丸亀市飯山町西坂元585番地,0877-56-8620,,,http://maru-ds.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,毎日曜日・年末年始・お盆,,34.26434,133.838786,○,　,○,　,　,　,　,　,8時～21時
437,丸亀町町営北駐車場,まるがめまちちょうえいきたちゅうしゃじょう,760-0026,香川県高松市磨屋町10番1,087-821-1013,,,,,時 ～ 時、時 ～ 時、時 ～ 時,,,34.34481,134.049499,○,　,○,○,　,　,　,　,-
438,マルナカ香西店,まるなかこうざいてん,761-8012,香川県高松市香西本町1番176,087-870-5233,,,http://www.marunaka.net/,,9時30分～22時,なし,,34.353667,134.003349,○,　,○,　,　,　,　,　,9時30分～22時
439,マルナカ新田店,まるなかしんでんてん,761-0102,香川県高松市新田町甲680-1,087-818-0311,,,http://www.marunaka.net/,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.325464,134.100966,○,　,○,　,　,　,　,　,9時30分～22時
440,マルナカまんのう店,まるなかまんのうてん,766-0022,香川県仲多度郡まんのう町吉野下字林1155-1,0877-58-8766,,,http://www.marunaka.net/,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.187253,133.842602,○,　,○,　,　,　,　,　,9時30分～22時
441,マルナカ山本店,まるなかやまもとてん,768-0101,香川県三豊市山本町辻348,0875-63-8808,,,http://www.marunaka.net/,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.118592,133.72399,○,　,○,　,　,　,　,　,9時30分～22時
442,マーレリッコ,まーれりっこ,769-2901,香川県東かがわ市引田4373番地,0879-33-2929,,,http://www.saltlake-hiketa.co.jp/marrericco.html,,9時～17時,火曜日・年末年始,,34.239113,134.395795,　,　,○,○,　,　,　,　,9時～17時
